,0
GP_26N_NU4,0.26248426092944077
GP_WBATOTAL_63,642.567292272352
GP_61_NU3,38.999999710026735
GP_26S_PU2,9.013051155607172
GP_25_PU,9.626354064575285
GP_11_NU2,7.000000015051022
GP_WBATOTAL_8S,252.4136580839833
GP_WBATOTAL_90,429.18762513606174
GP_19_NU,0.29699999758757795
GP_20_NA2,13.044044470247918
GP_15S_NA2,40.18513662948715
GP_09_SA2,50.082034074502445
GP_63_NA4,365.94200300538455
GP_11_PR,2.925389060140621
GP_15S_NA1,36.112809472181674
GP_WBATOTAL_22,66.79917104278006
GP_61_NA1,68.71761515283255
GP_08S_NU,3.0000000315466475
GP_02_NU,5.999999988506443
GP_50_PA1,11.499814174254618
GP_02_PU,0.053323591131139644
GP_63_NA2,6.435213288327341
GP_61_NU2,8.875998638229815
GPMIN_71_PA4DV,0.0
GP_07S_NU,2.9999999793604686
GP_60N_PU,0.3056064225122466
GP_71_NU,7.999999994966307
GP_71_NA1,17.60820962621083
GP_10_NU1,21.99999960539143
GP_13_NU2,0.0
GP_61_NA2_D,0.0
GP_WBATOTAL_23,131.3957763516238
GP_WBATOTAL_72,168.24659150367697
GP_71_PA5,19.473110697915946
GP_21_PA,26.202415891588572
GP_06_NU,2.999999986848887
GP_50_PA2,0.0
GP_07S_NA,160.36766499465745
GP_11_SA4,8.094492001917533
GP_63_PR1,0.0
GP_WBATOTAL_91,20.670608177136057
GP_62_NA5,19.233196612434572
GP_WBATOTAL_19,7.304639990091594
GP_61_NA4,1.7109210965108448
GP_WBATOTAL_14,3.6359564662092625
GP_61_NA2_P,0.0
GP_25_NU,2.999999986857171
GP_08N_PR1,0.0
GP_72_NU,16.999999925425556
GP_61_NA2,115.60527930931384
GP_20_NU1,7.347602674144455
GP_ELDID_NU3,0.0
GP_25_PA1,43.140934018890384
GP_64_NU,25.999999885816187
GP_08S_SA3,41.92143757029781
GP_63_NU,54.00000047868185
GP_26N_PU2,0.0
GP_24_NU4,0.0
GP_WBATOTAL_4,199.2982910490845
GP_73_PA1,22.846485119284743
GP_20_NA1,191.44274733746542
GP_05_NA,177.54393298355848
GP_08N_NU,0.9990748638471699
GP_WBATOTAL_26N,60.26890741001769
GP_07N_PA,57.57176451109606
GP_73_PA3,59.884414864316796
GP_60S_NU1,1.3098690445880958
GP_08S_NA1,42.129618588572576
GP_WBATOTAL_6,12.040081889389434
GP_15S_NU,10.999999981496362
GP_03_SU,7.81479874007377
GP_90_PA2,90.49835934005765
GP_26N_PU1,0.08416838729752761
GP_62_NU,35.99999948473863
GP_11_SA3,29.669340800954547
GP_61_NU1,5.596753623239395
GP_03_NA,3.4662395845620937
GP_15N_NA2,2.8321213159205403
GP_07N_NA,182.8957515548466
GP_11_SA1,23.374278432422926
GP_61_PA1_P,6.894158095182873
GP_04_PA2,0.4425800729107109
GP_WBATOTAL_2,18.480218183725242
GP_25_NA,97.2269545270616
GP_26S_PU6,8.014230566655804
GP_03_NU,8.999999930736061
GP_61_PA2,12.590772665715622
GP_21_NU,0.29759615001616857
GP_17S_SA,8.755818105068965
GP_64_PA2,201.25741826156235
GP_71_PA4,0.1240274895359927
GP_72_PU,0.9990877261936894
GP_WBATOTAL_17N,44.46250047497217
GP_64_PA3,8.698620516949642
GP_WBATOTAL_9,134.2620669521154
GP_19_SA,7.007639992504016
GP_WBATOTAL_64,776.9907955822149
GP_16_SA,11.6495309211125
