,Scenario,S_OROVL,S_FOLSM,S_SHSTA,S_TRNTY,S_SLUIS_SWP,S_SLUIS_CVP,C_LWSTN,D_LWSTN_CCT011,C_WKYTN,C_KSWCK,C_SAC097,C_FTR059,C_FTR003,C_YUB006,C_SAC083,C_NTOMA,C_AMR004,GP_SACWBA,C_CAA003,C_CAA003_SWP,C_CAA003_CVP,C_CAA003_WTS,C_DMC000,C_DMC000_CVP,C_DMC000_WTS,SWP_TA_TOTAL,SWP_IN_TOTAL,SWP_CO_TOTAL,icy,icm,iwy,iwm,cfs_taf
1984-07-31 23:59:59,Orov_Sens,2833.039937658059,774.712592212161,3695.934178861579,2061.161704251964,609.2997922044378,214.87725166914757,1102.0,399.9547077513585,150.00000000000006,15655.710375344732,8494.615695198409,8939.73462828928,9068.439438170248,730.0000000000006,18298.495163059262,5086.28131862082,4907.891774484597,9794.399359615858,6921.1958854668765,6895.046083780704,26.149801686172395,0.0,4583.631075744839,4583.631075744839,0.0,5986.691925721411,0.0,0.0,1984,7,1984,10,0.061487603
1984-08-31 23:59:59,Baseline,2461.4645159208976,698.3226688880371,3465.8066722200933,1899.054842946182,656.2852441086947,60.194262589583374,863.25,1930.6390275463018,150.0,9220.413214015449,5367.475851521762,7924.352007433009,8915.684559476855,992.1560441423155,15488.998485336653,2889.780254949152,2730.6770805029537,7129.338151049183,6854.731182774191,6854.731182774191,0.0,0.0,4422.55506682472,4422.55506682472,0.0,5988.459571424499,0.0,0.0,1984,8,1984,11,0.061487603
1984-08-31 23:59:59,Orov_Sens,2349.1175883743654,698.8439198689643,3467.10979967241,1899.292752998561,656.0470417595683,60.51742771512344,863.25,1927.1790826074027,150.0,9220.676570897534,5367.056260733599,7925.093588345983,8913.252156701803,992.1560441423156,15486.114011001398,2890.464874833905,2731.339342532271,7129.33857966328,6854.731182774207,6854.731182774207,0.0,0.0,4419.971335381752,4419.971335381752,0.0,5988.459571424498,0.0,0.0,1984,8,1984,11,0.061487603
1984-09-30 23:59:59,Baseline,2171.349342632136,640.2788908177952,3366.4789338544665,1739.7820699504366,618.9719014587916,42.63073051754166,863.25,1910.7770464382602,150.0,7358.166918231726,5417.105992574326,6093.28214663369,7793.469381912042,1143.1340404967023,15684.865761281799,2823.0004157695257,2684.778728062302,4854.099002661606,4626.9780772781905,4626.9780772781905,0.0,0.0,3846.0201779064873,3846.0201779064873,0.0,5137.190296847066,0.0,0.0,1984,9,1984,12,0.059504132
1984-09-30 23:59:59,Orov_Sens,2137.1008417883495,641.9768126956351,3372.3338368815002,1740.1558835554813,542.1747517001978,42.66346601857217,863.25,1908.484649715883,150.0,7279.23347076744,5338.102721383191,4785.448031707489,6576.192762549108,1143.1340404967023,14390.587908266316,2803.158504484059,2664.739828439643,4854.099286612223,3338.7523243686906,3338.7523243686906,0.0,0.0,3841.2993644457597,3841.2993644457597,0.0,5137.190296847069,0.0,0.0,1984,9,1984,12,0.059504132
1984-10-31 23:59:59,Baseline,2021.5616739200489,619.1045224369163,3249.999999999999,1729.191793144448,623.2312625989664,150.53133247354114,373.0,0.0,199.99999999999997,6407.055595255912,6789.814840187675,3895.349340136879,4983.500775747474,549.8546968448181,13392.316433622997,1500.0000000000002,1425.1657912236847,1527.2718209908116,4306.019982981788,4306.019982981788,0.0,0.0,4600.0,4600.0,0.0,4545.836067609465,0.0,0.0,1984,10,1985,1,0.061487603
1984-10-31 23:59:59,Orov_Sens,1980.3594369425687,620.7985399004386,3250.0,1729.5653797266853,550.3564040586596,150.55608652873576,373.0,0.0,199.99999999999997,6502.221779947227,6870.987254243591,4000.0,4975.745869752935,549.8546968448181,13462.92250806728,1500.0000000000002,1425.1496797392167,1527.2718209908116,4368.33138851518,4368.33138851518,0.0,0.0,4600.0,4600.0,0.0,4545.836067609467,0.0,0.0,1984,10,1985,1,0.061487603
1984-11-30 23:59:59,Baseline,2201.0646934075694,566.9999999999999,3252.1,1850.0000000000005,794.1461271497883,344.3379788324308,430.7731683692408,0.0,200.00000000000006,10767.05791898425,17178.607349331865,1700.0000000000002,5039.521459138844,1579.986796529246,22226.0330268153,4427.740875907061,4424.3985610044965,1085.5157080923373,6680.0,6679.999999999996,0.0,4.547473508864641e-12,4599.999999999999,4599.999999999999,0.0,4076.0487129110966,0.0,0.0,1984,11,1985,2,0.059504132
1984-11-30 23:59:59,Orov_Sens,2159.9946304034047,566.9999999999999,3252.1,1850.0000000000005,721.303341650063,344.3554559199566,437.05095692627236,0.0,200.00000000000006,10767.057918984283,17182.088680900764,1700.0000000000002,5077.220704933604,1579.986796529246,22262.424185392763,4456.077303701507,4452.577837896168,1085.5157080923373,6680.0,6679.999999999999,0.0,9.094947017729282e-13,4600.0,4600.0,0.0,4076.0487129111025,0.0,0.0,1984,11,1985,2,0.059504132
1984-12-31 23:59:59,Baseline,2255.827675492612,566.9999999999999,3350.8846653144537,1849.9999999999998,1051.4601582489543,552.2856922256074,300.0,879.3748816641038,200.0,6649.535707988952,12593.609357101834,1700.0,4716.8966355069615,1022.464731967447,18319.12988612844,2878.4047844837373,2823.574117193637,974.440871865874,7022.284990860026,7022.284990860025,0.0,9.094947017729282e-13,4600.0,4600.0,0.0,3086.820379040824,0.0,0.0,1984,12,1985,3,0.061487603
1984-12-31 23:59:59,Orov_Sens,2214.7522842477074,567.0,3350.8846653144537,1849.9999999999995,978.6269127742847,552.2960148708287,300.0,879.3748816641111,200.0,6649.535707988956,12595.847354417405,1700.0,4720.25836667481,1022.464731967447,18324.503691141646,2878.423346311694,2823.613520830136,974.440871865874,7022.263748680916,7022.263748680915,0.0,9.094947017729282e-13,4600.0,4600.0,0.0,3086.8203790408143,0.0,0.0,1984,12,1985,3,0.061487603
1985-01-31 23:59:59,Baseline,2213.2170543265956,528.8746758850033,3526.7618156762255,1820.0734618521724,996.4555564252171,648.0000000000002,300.0,1012.648475573458,199.99999999999997,3249.9999999999986,6112.27409710892,1700.0000000000002,2748.3804254591532,612.6371131070981,9671.760574627582,1750.0,1693.084875356795,943.7509100760803,2698.1464094535477,2698.1464094535477,0.0,0.0,3800.958051791437,3800.958051791437,0.0,543.0529176272562,23.25672043164516,3256.412626584278,1985,1,1985,4,0.061487603
1985-01-31 23:59:59,Orov_Sens,2172.2692337772874,528.8753647736818,3526.7673041446587,1820.067972112128,926.1925820193101,648.0000000000002,300.0,1012.7377651691904,199.99999999999997,3249.999999999997,6115.084392296343,1700.0,2741.8355500484595,612.6371131070981,9668.189782917581,1750.0,1693.0993499685035,943.7509100760803,2697.587959266308,2697.587959266308,0.0,0.0,3800.900109077053,3800.900109077053,0.0,497.49747552416017,23.25672043164516,3257.4636047972604,1985,1,1985,4,0.061487603
1985-02-28 23:59:59,Baseline,2305.932002995308,561.309931215739,3700.8061268469114,1850.4675272755187,920.9289955661956,676.7674977718688,300.0,260.1591673463735,380.05952382142857,3250.0,7320.067579796918,1700.0,4261.546975403681,1124.8015895545154,12763.567150727773,1749.9999999999998,1723.6470904217804,267.59841351359023,2603.012423075087,2603.012423075087,0.0,0.0,3904.5186346126225,3904.5186346126225,0.0,866.5048167893277,138.8258928663214,3218.629065597528,1985,2,1985,5,0.05553719
1985-02-28 23:59:59,Orov_Sens,2265.006976592959,561.3110148614093,3700.8109505540842,1850.4626996086458,861.441687109155,676.7457532952683,300.0,260.147272909611,380.05952382142857,3250.0,7319.9328837238345,1700.0,4261.962293029339,1124.8015895545154,12763.871400584447,1749.9999999999998,1723.6563491684735,267.59841351359006,2602.822785507651,2602.822785507651,0.0,0.0,3904.2341782614762,3904.2341782614762,0.0,672.7552188714208,138.8258928663214,3217.779604301241,1985,2,1985,5,0.05553719
1985-03-31 23:59:59,Baseline,2439.309378793059,618.560675138392,3939.786050176017,1871.4096486013989,912.7959597145053,746.9405283260191,299.99999999999994,594.3577210024754,199.99999999999997,3250.0,6748.862957204342,1700.0,3972.0551544776913,1461.622670615721,12474.348278701093,1778.1808584700611,1741.1944634999297,308.6958172157982,2310.7609366483935,2310.7609366483935,0.0,0.0,3466.1414049725904,3466.1414049725904,0.0,1061.6295549131733,0.0,1075.2467898596294,1985,3,1985,6,0.061487603
1985-03-31 23:59:59,Orov_Sens,2398.3979731466784,618.5619645228736,3939.790490562796,1871.4052019178844,865.8520463177902,746.9081399788432,299.99999999999994,594.3515681723356,199.99999999999997,3250.0,6749.071956026951,1700.0,3972.1210447479957,1461.622670615721,12474.619164044394,1778.1808584700611,1741.1988816077555,308.69581247273874,2310.7146525296434,2310.7146525296434,0.0,0.0,3466.0719787944604,3466.0719787944604,0.0,857.5940988839102,0.0,1074.9629813359393,1985,3,1985,6,0.061487603
1985-04-30 23:59:59,Baseline,2771.251260786671,757.1779635681753,4182.0528730933875,2002.8293701008674,761.8282999787898,636.7270442901637,540.0,653.401596758087,200.0,3250.0,4786.215915850296,999.9999999999999,2687.672459567201,1526.9465447796874,8226.668521643704,1285.6456848483144,1200.3506711927491,5859.454172600698,600.0,600.0,0.0,0.0,2498.3164047376945,2498.3164047376945,0.0,2695.4151290433456,0.0,0.0,1985,4,1985,7,0.059504132
1985-04-30 23:59:59,Orov_Sens,2730.264755358904,757.1793347779611,4182.056841840858,2002.8253938719074,713.4871729383381,636.6862550142645,540.0,653.3937964063252,200.0,3250.0,4786.434678477377,1000.0,2687.72023136504,1526.946544779688,8226.922618562765,1285.6456848483153,1200.3525350044783,5859.45388343702,600.0,600.0,0.0,0.0,2498.24586911052,2498.24586911052,0.0,2720.2801702431034,0.0,0.0,1985,4,1985,7,0.059504132
1985-05-31 23:59:59,Baseline,2574.524529623294,832.61592074487,3892.4909685293783,1912.735412696784,569.9888854245088,505.5798386543079,2924.0000000000014,457.4427691321971,200.00000000000003,9133.136236649356,4979.226728056162,3701.9961373890587,4753.195193294478,1030.0000000000005,11867.673215090228,1216.600000000001,1103.3913569269714,8008.145632996364,600.0,600.0,0.0,0.0,2703.9816057091025,2703.9816057091025,0.0,3490.650889243962,0.0,0.0,1985,5,1985,8,0.061487603
1985-05-31 23:59:59,Orov_Sens,2533.4405534350003,832.6172960916272,3892.508796897455,1912.7318762326984,520.8168728203748,505.53128177231787,2924.0000000000014,457.4357185990644,200.00000000000003,9132.903388731092,4979.22464335441,3701.9093732802603,4753.169053065608,1030.0000000000005,11867.628959024609,1216.600000000001,1103.3913496465054,8008.145236898911,600.0,600.0,0.0,0.0,2703.919433470538,2703.919433470538,0.0,3506.3720986412927,0.0,0.0,1985,5,1985,8,0.061487603
1985-06-30 23:59:59,Baseline,2336.4580315380495,711.0429579683471,3612.6822542902696,1795.7179140907115,372.67947105965834,305.4751496041344,783.0000000000001,1992.6702009100925,318.05555556666667,9946.316695870853,3941.4446018611075,4968.916357444985,5177.4588231930875,680.0000000000002,9677.067129763296,3979.0803356274105,3799.2476236252173,9784.169761949206,2144.5520486062455,2144.5520486062455,0.0,0.0,3216.8280729093667,3216.8280729093667,0.0,5296.423234279816,0.0,0.0,1985,6,1985,9,0.059504132
1985-06-30 23:59:59,Orov_Sens,2295.242055285294,711.045329810632,3612.6904766768585,1795.7181427015023,327.93003547088676,305.4124656795288,783.0000000000001,1992.6069978671233,318.05555556666667,9946.414273374747,3941.559397793862,4968.93363399255,5177.537101090959,680.0000000000002,9677.224747920807,3979.0619162945936,3799.226993528512,9784.167762724457,2144.5287956367083,2144.5287956367083,0.0,0.0,3216.793193455061,3216.793193455061,0.0,5225.897196051928,0.0,0.0,1985,6,1985,9,0.059504132
1985-07-31 23:59:59,Baseline,1758.9883961863204,558.9588814316858,3030.2682265326243,1571.4305948751905,369.3746675913685,156.35733709307416,450.0000000000001,3299.9999999999995,150.0,15868.131121420207,8770.387035265316,7778.585558074984,7979.429671932547,530.0000000000007,17386.775316797368,3797.3736808073695,3602.946391439115,10017.608596851987,5872.7420828387485,5870.404051394575,2.3380314441737937,0.0,4525.156813284339,4525.156813284339,0.0,5776.867922546391,0.0,0.0,1985,7,1985,10,0.061487603
1985-07-31 23:59:59,Orov_Sens,1727.305211075939,563.5012208685899,3053.6021619961807,1571.4308228712741,322.3113903951467,141.16775233181806,450.0000000000001,3299.9999999999995,150.0,15488.059558224519,8408.049262976265,7622.352402356697,7847.744970515337,530.0000000000007,16897.006339753556,3723.565208288665,3529.272004008523,10017.61720556718,5784.458861038077,5782.12084331909,2.3380177189865208,0.0,4278.392364510276,4278.392364510276,0.0,5730.999391784377,0.0,0.0,1985,7,1985,10,0.061487603
1985-08-31 23:59:59,Baseline,1592.746938406561,449.63287520927486,2767.526527585349,1317.118179443911,153.0908814574253,90.00000000000003,863.2500000000003,3299.999999999999,150.00000000000003,10588.332318364099,6027.8567184765725,2965.9888482409447,3829.554142914077,530.0000000000007,10806.362211089345,3033.325225151593,2850.124882070408,7288.770574115439,3326.4790577862714,2160.322669273634,1166.1563885126372,0.0,4254.811796149142,4254.811796149142,0.0,5589.93631911071,0.0,0.0,1985,8,1985,11,0.061487603
1985-08-31 23:59:59,Orov_Sens,1592.573897349172,451.46737578613806,2777.734876359764,1317.1184066779367,78.34323066343289,89.99999999999976,863.2500000000003,3299.999999999999,150.00000000000003,10800.971385814964,6203.195082755818,2451.990519574783,3338.8896431756334,530.0000000000007,10488.744426340923,3076.870964237438,2893.2796182702023,7288.759520725373,2807.513858429124,1641.4056127209792,1166.108245708145,0.0,4499.134551945197,4499.134551945197,0.0,5526.752869704953,0.0,0.0,1985,8,1985,11,0.061487603
1985-09-30 23:59:59,Baseline,1595.0905246729249,442.90849181997487,2851.6272125348396,1130.5207990091499,80.39758226680429,180.59288446418188,863.25,2359.4752924545464,150.0,4675.395105098873,4294.951714801472,1425.3689263192612,2630.791064752163,561.0768367531914,10423.323522457731,1659.4577194224337,1535.729020918526,3348.0550884686218,3717.725820886342,3601.4875574064204,0.0,116.23826347992149,4599.999999999998,4599.999999999998,0.0,4755.147284152376,0.0,0.0,1985,9,1985,12,0.059504132
